t,x,y,z
2.574437262861362683e+02,5.000000000000000000e+03,-1.287218631430681307e+04,5.000000000000000000e+02
2.588353139957910116e+02,5.000000000000000000e+03,-1.294176569978955013e+04,5.000000000000000000e+02
2.602269017054458118e+02,5.000000000000000000e+03,-1.301134508527229082e+04,5.000000000000000000e+02
2.616184894151006120e+02,5.000000000000000000e+03,-1.308092447075503151e+04,5.000000000000000000e+02
2.630100771247554121e+02,5.000000000000000000e+03,-1.315050385623777038e+04,5.000000000000000000e+02
2.644016648344102123e+02,5.000000000000000000e+03,-1.322008324172051107e+04,5.000000000000000000e+02
2.657932525440650124e+02,5.000000000000000000e+03,-1.328966262720324994e+04,5.000000000000000000e+02
2.671848402537197558e+02,5.000000000000000000e+03,-1.335924201268598699e+04,5.000000000000000000e+02
2.685764279633745559e+02,5.000000000000000000e+03,-1.342882139816872768e+04,5.000000000000000000e+02
2.699680156730293561e+02,5.000000000000000000e+03,-1.349840078365146837e+04,5.000000000000000000e+02
2.713596033826841563e+02,5.000000000000000000e+03,-1.356798016913420724e+04,5.000000000000000000e+02
2.727511910923389564e+02,5.000000000000000000e+03,-1.363755955461694793e+04,5.000000000000000000e+02
2.741427788019937566e+02,5.000000000000000000e+03,-1.370713894009968863e+04,5.000000000000000000e+02
2.755343665116484999e+02,5.000000000000000000e+03,-1.377671832558242568e+04,5.000000000000000000e+02
2.769259542213033001e+02,5.000000000000000000e+03,-1.384629771106516455e+04,5.000000000000000000e+02
